route_id,from_stop_id,from_stop_name,to_stop_id,to_stop_name,day_type,peak_ind,average_sec,std_sec,p05_sec,p50_sec,p95_sec,ObjectId
Orange,70022,State Street,70020,Downtown Crossing,weekday,peak,21.29,10.05,14,16,40,237
Orange,70022,State Street,70020,Downtown Crossing,weekday,offpeak,21.15,10.14,14,16,40,238
Orange,70023,State Street,70025,Haymarket,weekday,offpeak,30.07,17.22,19,25,48,239
Orange,70023,State Street,70025,Haymarket,sunday,offpeak,29.04,9.12,19,26,45,240
Orange,70023,State Street,70025,Haymarket,saturday,offpeak,30.29,11.38,19,28,47,241
Orange,70023,State Street,70025,Haymarket,weekday,peak,32.01,26.35,19,25,55,242
Orange,70024,Haymarket,70022,State Street,sunday,offpeak,45.18,11.85,40,43,63.65,243
Orange,70024,Haymarket,70022,State Street,weekday,offpeak,50.64,21.85,40,43,99,244
Orange,70024,Haymarket,70022,State Street,weekday,peak,53.2,28.12,40,43,104,245
Orange,70024,Haymarket,70022,State Street,saturday,offpeak,46.35,16.41,40,43,71,246
Orange,70025,Haymarket,70027,North Station,saturday,offpeak,31.43,7.43,27,30,41,247
Orange,70025,Haymarket,70027,North Station,weekday,offpeak,32.44,7.44,27,31,43,248
Orange,70025,Haymarket,70027,North Station,sunday,offpeak,31.48,4.09,27,31,41,249
Orange,70025,Haymarket,70027,North Station,weekday,peak,32.25,7.25,27,31,42,250
Orange,70026,North Station,70024,Haymarket,saturday,offpeak,56.62,26.07,32,59,79,251
Orange,70026,North Station,70024,Haymarket,weekday,offpeak,61.64,48.62,32,61,93,252
Orange,70026,North Station,70024,Haymarket,sunday,offpeak,63.73,58.48,33,61,96.7,253
Orange,70026,North Station,70024,Haymarket,weekday,peak,72.46,36.65,33,71,116,254
Orange,70027,North Station,70029,Community College,weekday,peak,101.91,11.41,88,101,115,255
Orange,70027,North Station,70029,Community College,weekday,offpeak,101.53,14.07,87,101,115,256
Orange,70027,North Station,70029,Community College,sunday,offpeak,100,10.64,85.05,100,111,257
Orange,70027,North Station,70029,Community College,saturday,offpeak,99.31,11.87,86,99,112,258
Orange,70028,Community College,70026,North Station,sunday,offpeak,108.29,48.65,84,95,180,259
Orange,70028,Community College,70026,North Station,weekday,offpeak,98.69,31.33,83,90,150,260
Orange,70028,Community College,70026,North Station,saturday,offpeak,108.56,74.66,84,95,176.45,261
Orange,70028,Community College,70026,North Station,weekday,peak,104.03,63.35,83,91,172,262
Orange,70029,Community College,70031,Sullivan Square,saturday,offpeak,88.78,18.39,75.25,82,120,263
Orange,70029,Community College,70031,Sullivan Square,sunday,offpeak,89.34,13.57,76,84,114,264
Orange,70029,Community College,70031,Sullivan Square,weekday,peak,88.95,18.59,76,84,116,265
Orange,70029,Community College,70031,Sullivan Square,weekday,offpeak,87.89,22.41,76,83,114,266
Orange,70030,Sullivan Square,70028,Community College,saturday,offpeak,85.04,7.32,79,84,94,267
Orange,70030,Sullivan Square,70028,Community College,sunday,offpeak,87.75,9.33,79,85,107,268
Orange,70030,Sullivan Square,70028,Community College,weekday,offpeak,85.84,19.52,78,84,96,269
Orange,70030,Sullivan Square,70028,Community College,weekday,peak,87.28,18.41,79,85,99,270
Orange,70031,Sullivan Square,70279,Assembly,sunday,offpeak,61.03,10.48,50,58,74,271
