reporting_fiscal_year,reporting_as_of_date,category,subcategory,month_to_date_actual_amount,month_to_date_budgeted_amount,year_to_date_actual_amount,year_to_date_budgeted_amount,ObjectId
2017,2017/06/30 04:00:00+00,Expenses,Operating Expenses,131651138.6,132639917.8,1527127615,1563738927,240
2016,2015/12/31 05:00:00+00,Expenses,Debt Service,37825096.07,38206628,224622321.6,227976928,241
2016,2015/12/31 05:00:00+00,Revenue,Non-Operating Revenues,78467711.68,98273849.41,534400838.9,549695636.8,242
2016,2015/12/31 05:00:00+00,Expenses,Operating Expenses,124668045,133403799.5,734990287.2,787259066,243
2016,2015/12/31 05:00:00+00,Revenue,Operating Revenues,53835646.95,53310535.39,343878279.4,341762570.2,244
2016,2015/11/30 05:00:00+00,Expenses,Debt Service,37809906.15,38206628,186797225.6,189770300,245
2016,2015/11/30 05:00:00+00,Revenue,Non-Operating Revenues,88226432.46,80638412.39,455933127.2,451421787.4,246
2016,2015/11/30 05:00:00+00,Expenses,Operating Expenses,121555974.8,127879027.3,610322242.2,653855266.5,247
2016,2015/11/30 05:00:00+00,Revenue,Operating Revenues,55957152.84,55574789.22,290042632.4,288452034.9,248
2016,2015/10/31 04:00:00+00,Expenses,Debt Service,38209296.55,38206626,148987319.4,151563672,249
2016,2015/10/31 04:00:00+00,Revenue,Non-Operating Revenues,119180792.3,116152162.8,367706694.8,370783375,250
2016,2015/10/31 04:00:00+00,Expenses,Operating Expenses,117035362.8,131284053.1,488766267.4,525976239.2,251
2016,2015/10/31 04:00:00+00,Revenue,Operating Revenues,59396849.71,59617473.59,234085479.5,232877245.7,252
2016,2015/09/30 04:00:00+00,Expenses,Debt Service,37353582.3,38206628,110778022.9,113357046,253
2016,2015/09/30 04:00:00+00,Revenue,Non-Operating Revenues,86862260.66,90192387.35,248525902.4,254631212.1,254
2016,2015/09/30 04:00:00+00,Expenses,Operating Expenses,127099480.6,130674389.1,371730904.6,394692186.1,255
2016,2015/09/30 04:00:00+00,Revenue,Operating Revenues,58957562.29,58794664.62,174688629.8,173259772.1,256
2016,2015/08/31 04:00:00+00,Expenses,Debt Service,36070311.73,36943793,73424440.55,75150418,257
2016,2015/08/31 04:00:00+00,Revenue,Non-Operating Revenues,86047878.78,84366038.51,161663641.8,164438824.9,258
2016,2015/08/31 04:00:00+00,Expenses,Operating Expenses,118476759.5,128941022.3,244631423.9,264017797,259
2016,2015/08/31 04:00:00+00,Revenue,Operating Revenues,57208100.22,56724721.24,115731067.6,114465107.4,260
2016,2015/07/31 04:00:00+00,Expenses,Debt Service,37354128.82,38206625,37354128.82,38206625,261
2016,2015/07/31 04:00:00+00,Revenue,Non-Operating Revenues,75615762.97,80072786.33,75615762.97,80072786.33,262
2016,2015/07/31 04:00:00+00,Expenses,Operating Expenses,126154664.4,135076774.7,126154664.4,135076774.7,263
2016,2015/07/31 04:00:00+00,Revenue,Operating Revenues,58522967.3,57740386.2,58522967.3,57740386.2,264
2015,2015/06/30 04:00:00+00,Expenses,Debt Service,24729467.69,32739022.51,413439711.7,423938425.5,265
2015,2015/06/30 04:00:00+00,Revenue,Non-Operating Revenues,142500323.6,121956788,1157292600,1001817916,266
2015,2015/06/30 04:00:00+00,Expenses,Operating Expenses,145087793.1,124309483.5,1508820862,1508921410,267
2015,2015/06/30 04:00:00+00,Revenue,Operating Revenues,57387316.45,56642013.86,645968040.7,646174787.5,268
2014,2014/06/30 04:00:00+00,Expenses,Debt Service,28644305.51,35309773,435099747.3,443827234,269
2014,2014/06/30 04:00:00+00,Revenue,Non-Operating Revenues,104938647.5,107056240.3,1139715314,1133937316,270
2014,2014/06/30 04:00:00+00,Expenses,Operating Expenses,123437048.8,115474073.1,1429983520,1422728221,271
2014,2014/06/30 04:00:00+00,Revenue,Operating Revenues,48976353.87,51827913.85,624394509.7,614558683.4,272
2013,2013/06/30 04:00:00+00,Expenses,Debt Service,32867008.18,35646947,436500349,437024363.5,273
2013,2013/06/30 04:00:00+00,Revenue,Non-Operating Revenues,111325677.5,111293012,1179623620,1186920136,274
2013,2013/06/30 04:00:00+00,Expenses,Operating Expenses,114368732.1,107438869.4,1329191083,1329239042,275
2013,2013/06/30 04:00:00+00,Revenue,Operating Revenues,53515380.22,51027838.43,614717079.1,579343269.4,276
2012,2012/06/30 04:00:00+00,Expenses,Debt Service,2232979.7,31248534.15,362606248.5,362184811.2,277
2012,2012/06/30 04:00:00+00,Revenue,Non-Operating Revenues,149405042.9,108748835.7,1144156555,1151384601,278
2012,2012/06/30 04:00:00+00,Expenses,Operating Expenses,107132629.7,104116127.3,1292576584,1293958393,279
2012,2012/06/30 04:00:00+00,Revenue,Operating Revenues,45832770.13,44211437.33,513189121.7,504758603.2,280
2011,2011/06/30 04:00:00+00,Expenses,Debt Service,31914908.91,38011807.67,393228326.3,404825219.7,281
2011,2011/06/30 04:00:00+00,Revenue,Non-Operating Revenues,116728898,120999671,1101976677,1103126739,282
2011,2011/06/30 04:00:00+00,Expenses,Operating Expenses,102814198,100349331.8,1219941342,1216875486,283
2011,2011/06/30 04:00:00+00,Revenue,Operating Revenues,46506645.24,46467136.45,511205798.5,518573966.9,284
