reporting_fiscal_year,reporting_as_of_date,category,subcategory,month_to_date_actual_amount,month_to_date_budgeted_amount,year_to_date_actual_amount,year_to_date_budgeted_amount,ObjectId
2020,2020/01/31 05:00:00+00,Revenue,Operating Revenues,66301213.86,63762322.94,477437143.1,470811214.5,48
2020,2019/12/31 05:00:00+00,Expenses,Debt Service,18926022.7,40910140.81,112529466.2,245460844.9,49
2020,2019/12/31 05:00:00+00,Revenue,Non-Operating Revenues,123179960.4,107873348.2,653744761.8,634566511.2,50
2020,2019/12/31 05:00:00+00,Expenses,Operating Expenses,314088357.7,139235123.5,1519540017,814198014.9,51
2020,2019/12/31 05:00:00+00,Revenue,Operating Revenues,67039460.29,64458342.58,418822585.5,407048891.5,52
2020,2019/11/30 05:00:00+00,Expenses,Debt Service,39927702.61,40910140.81,202560400.1,204550704.1,53
2020,2019/11/30 05:00:00+00,Revenue,Non-Operating Revenues,109153412.8,105613299.6,540512761,526693163,54
2020,2019/11/30 05:00:00+00,Expenses,Operating Expenses,141053432.8,135118439.7,672749328.5,674962891.4,55
2020,2019/11/30 05:00:00+00,Revenue,Operating Revenues,68547329.1,66795619.64,345377578.3,342590548.9,56
2020,2019/10/31 04:00:00+00,Expenses,Debt Service,19039353.65,40910140.81,75467132.1,163640563.3,57
2020,2019/10/31 04:00:00+00,Revenue,Non-Operating Revenues,108293021.6,105309711,420640004.2,421079863.5,58
2020,2019/10/31 04:00:00+00,Expenses,Operating Expenses,219478539.4,138744049.4,936732621,539844451.8,59
2020,2019/10/31 04:00:00+00,Revenue,Operating Revenues,71217283.19,70671039.36,281954686.7,275794929.3,60
2020,2019/09/30 04:00:00+00,Expenses,Debt Service,19175585.44,40910140.81,56427778.45,122730422.4,61
2020,2019/09/30 04:00:00+00,Revenue,Non-Operating Revenues,109805414.1,105326865.5,312346982.6,315770152.4,62
2020,2019/09/30 04:00:00+00,Expenses,Operating Expenses,330892359.2,130258375.5,717254081.7,401100402.4,63
2020,2019/09/30 04:00:00+00,Revenue,Operating Revenues,71660397.31,70016487.15,210737403.5,205123890,64
2020,2019/08/31 04:00:00+00,Expenses,Debt Service,18105284.42,40910140.81,37252193.01,81820281.63,65
2020,2019/08/31 04:00:00+00,Revenue,Non-Operating Revenues,105388739.1,105373526.3,202541568.5,210443286.9,66
2020,2019/08/31 04:00:00+00,Expenses,Operating Expenses,201519729.2,133023099,386361722.5,270842026.9,67
2020,2019/08/31 04:00:00+00,Revenue,Operating Revenues,69270422.65,66883542.37,139077006.2,135107402.8,68
2020,2019/07/31 04:00:00+00,Expenses,Debt Service,19146908.59,40910140.81,19146908.59,40910140.81,69
2020,2019/07/31 04:00:00+00,Revenue,Non-Operating Revenues,97152829.52,105069760.6,97152829.52,105069760.6,70
2020,2019/07/31 04:00:00+00,Expenses,Operating Expenses,184841993.3,137818928,184841993.3,137818928,71
2020,2019/07/31 04:00:00+00,Revenue,Operating Revenues,69806583.55,68223860.43,69806583.55,68223860.43,72
2019,2019/06/30 04:00:00+00,Expenses,Debt Service,26266693.2,41071752.5,235720659.7,492861030.1,73
2019,2019/06/30 04:00:00+00,Revenue,Non-Operating Revenues,165163822.9,103224365.9,1310088491,1234113749,74
2019,2019/06/30 04:00:00+00,Expenses,Operating Expenses,201005426.8,124869648.7,1884244614,1564455442,75
2019,2019/06/30 04:00:00+00,Revenue,Operating Revenues,68650571.38,69513537.21,777190757.6,786678299.9,76
2019,2019/05/31 04:00:00+00,Expenses,Debt Service,80247699.54,82143505,879397693.4,903578555.2,77
2019,2019/05/31 04:00:00+00,Revenue,Non-Operating Revenues,210283281.6,204649695.9,2295507557,2261778766,78
2019,2019/05/31 04:00:00+00,Expenses,Operating Expenses,269921203.9,258768823.9,2854718798,2879171587,79
2019,2019/05/31 04:00:00+00,Revenue,Operating Revenues,130922665.8,131643429.1,1389003255,1434329525,80
2019,2019/04/30 04:00:00+00,Expenses,Debt Service,40339466.61,41071752.5,399574996.9,410717525,81
2019,2019/04/30 04:00:00+00,Revenue,Non-Operating Revenues,105427858,102344060.3,1042612137,1028564535,82
2019,2019/04/30 04:00:00+00,Expenses,Operating Expenses,125093008.8,127738885.2,1292398797,1310201381,83
2019,2019/04/30 04:00:00+00,Revenue,Operating Revenues,64359978.01,65258662.16,629040294.6,651343048.2,84
2019,2019/03/31 04:00:00+00,Expenses,Debt Service,40099967.24,41071752.5,359235530.3,369645772.6,85
2019,2019/03/31 04:00:00+00,Revenue,Non-Operating Revenues,102459126.7,104337298.2,937184279.5,926220474.9,86
2019,2019/03/31 04:00:00+00,Expenses,Operating Expenses,126205362.6,127461584.9,1167305788,1182462496,87
